timestamp,cpu_percent,ram_percent,warning
2026-05-18 21:02:49,1.9,73.1,
2026-05-18 21:02:50,4.8,73.2,
2026-05-18 21:02:51,6.5,73.3,
2026-05-18 21:02:52,17.9,80.4,
2026-05-18 21:02:53,3.3,81.1,
2026-05-18 21:02:54,1.0,81.1,
2026-05-18 21:02:55,4.3,81.1,
2026-05-18 21:02:56,4.1,81.1,
2026-05-18 21:02:57,5.1,80.8,
2026-05-18 21:02:58,5.8,78.6,
2026-05-18 21:02:59,8.0,74.2,
2026-05-18 21:03:00,5.7,73.4,
2026-05-18 21:03:01,2.8,73.3,
2026-05-18 21:03:02,5.2,73.3,
2026-05-18 21:03:03,4.4,73.7,
2026-05-18 21:03:04,3.9,73.9,
